configuration,source_id,chunk_id,speech_ratio,vad_confidence,wer,cer,content_privacy,speaker_privacy,privacy_score,tc3,ta1,preserve_new,trials_used,used_ss,recipe
LLM-NoMem-SS,,1df4da4b-194f-575c-8417-560c77c798e5_2,0.791,0.931,0.4444444444444444,0.27906976744186046,0.37829457364341085,0.0648007303774315,0.28424642066361705,1.0,1.0,1.0,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,be6decd2-fb27-5734-aecc-193e72e3e494_0,0.9105,0.95505,0.5294117647058824,0.40298507462686567,0.47884108867427566,0.1282519693837615,0.3736643528871214,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,be6decd2-fb27-5734-aecc-193e72e3e494_1,0.9185,0.952,0.7142857142857143,0.47761194029850745,0.6196162046908316,0.4032435682625536,0.5547044137623481,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,be6decd2-fb27-5734-aecc-193e72e3e494_2,0.895,0.9624,0.9166666666666666,0.6271186440677966,0.8008474576271185,0.3003827699394309,0.6507080513208122,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,df85503f-7853-5d15-a3c3-894c680a695b_0,0.8705,0.92795,0.2727272727272727,0.22916666666666666,0.25530303030303025,0.20671651565747517,0.2407270759093637,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,df85503f-7853-5d15-a3c3-894c680a695b_1,0.9505,0.9014,1.0,1.0,1.0,0.5068684113159054,0.8520605233947716,0.3333333333333333,0.0,0.16666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,df85503f-7853-5d15-a3c3-894c680a695b_2,0.422,0.7468,0.25,0.037037037037037035,0.1648148148148148,0.27447479964387955,0.1977128102635342,0.6666666666666666,1.0,0.8333333333333333,4,True,RECIPE_SOURCE_SEPARATION
LLM-NoMem-SS,,9b6ff0f9-c311-51aa-ad1d-a3790630e20e_0,0.9195,0.9586,0.06666666666666667,0.0410958904109589,0.05643835616438356,0.10859275678648117,0.07208467635101284,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,9b6ff0f9-c311-51aa-ad1d-a3790630e20e_1,0.9995,0.9429,0.6428571428571429,0.49333333333333335,0.583047619047619,0.5915817799635307,0.5856078673223925,0.0,0.0,0.0,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,9b6ff0f9-c311-51aa-ad1d-a3790630e20e_2,0.303,0.92,0.0,0.0,0.0,0.12967025911213625,0.038901077733640876,1.0,1.0,1.0,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,5802c61f-de1f-53d2-addd-b8240d0b916e_0,0.9195,0.9452,0.2,0.12727272727272726,0.1709090909090909,0.044632475552894735,0.13302610630223205,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,5802c61f-de1f-53d2-addd-b8240d0b916e_1,0.9185,0.89805,1.0,1.0,1.0,0.15942322495769967,0.7478269674873098,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,5802c61f-de1f-53d2-addd-b8240d0b916e_2,0.319,0.9359,0.75,0.42857142857142855,0.6214285714285714,0.541101548036848,0.5973304644110544,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,7bd08ddb-9892-5ad9-ba42-51a4f1b9f996_0,0.9515,0.9841,0.5625,0.4166666666666667,0.5041666666666667,0.5249941813544436,0.5104149210729998,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,7bd08ddb-9892-5ad9-ba42-51a4f1b9f996_1,0.9835,0.9163,0.25,0.16455696202531644,0.21582278481012657,0.12999680915418677,0.1900749921133446,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,7bd08ddb-9892-5ad9-ba42-51a4f1b9f996_2,0.447,0.9321,0.0,0.0,0.0,0.07382672516767197,0.02214801755030159,0.6666666666666666,1.0,0.8333333333333333,4,True,RECIPE_SOURCE_SEPARATION
LLM-NoMem-SS,,4782b1a3-335d-55e6-80f8-52c3d989a29c_0,0.9515,0.9434,0.0,0.0,0.0,0.12636997525573423,0.037910992576720266,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,4782b1a3-335d-55e6-80f8-52c3d989a29c_1,0.9345,0.95865,0.375,0.3150684931506849,0.351027397260274,0.47113074873080196,0.3870584027014323,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,4782b1a3-335d-55e6-80f8-52c3d989a29c_2,0.351,0.9324,0.25,0.08,0.182,0.1763328233829371,0.1802998470148811,1.0,1.0,1.0,4,True,RECIPE_SOURCE_SEPARATION
LLM-NoMem-SS,,6d279066-ba0e-5d83-96f6-637f7254e2cf_0,0.9355,0.9517,0.9090909090909091,0.5428571428571428,0.7625974025974025,0.20564759436615287,0.5955124601280276,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,6d279066-ba0e-5d83-96f6-637f7254e2cf_1,0.967,0.90585,1.0,1.0,1.0,0.3155839569749014,0.7946751870924704,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
